NDF v9.6h 11Sep15 rev 12Mar16 run 01/05/2026 17:05:16 Filename: 671x0101.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671136.spc                                                                    
str 671136s.str                                                                   
file 671136R1.odf                                                                  
geo 671136g.geo                                                                   
elements 12
 S     Cl    K     Ca    Ti    Fe    Cu    O     Sr    Br    Rb    Se   
 channel elements... background
    55  0.28466E+03  0.22608E+01  0.13453E+00  0.70175E-01  0.10421E+00  0.32695E+03  0.37524E+03  0.26906E+03  0.30936E+00  0.56980E-01  0.20092E+00  0.53803E-01  0.25896E+03
    56  0.28653E+03  0.22762E+01  0.13545E+00  0.70659E-01  0.10493E+00  0.32929E+03  0.37795E+03  0.27073E+03  0.31164E+00  0.57392E-01  0.20237E+00  0.54192E-01  0.24353E+03
    57  0.28836E+03  0.22914E+01  0.13635E+00  0.71134E-01  0.10564E+00  0.33158E+03  0.38061E+03  0.27238E+03  0.31388E+00  0.57797E-01  0.20379E+00  0.54573E-01  0.22809E+03
    58  0.29016E+03  0.23063E+01  0.13723E+00  0.71600E-01  0.10633E+00  0.33383E+03  0.38322E+03  0.27402E+03  0.31608E+00  0.58194E-01  0.20518E+00  0.54948E-01  0.21264E+03
    59  0.29193E+03  0.23209E+01  0.13810E+00  0.72057E-01  0.10701E+00  0.33603E+03  0.38579E+03  0.27564E+03  0.31824E+00  0.58584E-01  0.20656E+00  0.55315E-01  0.20178E+03
    60  0.29367E+03  0.23353E+01  0.13895E+00  0.72505E-01  0.10768E+00  0.33820E+03  0.38830E+03  0.27724E+03  0.32036E+00  0.58967E-01  0.20790E+00  0.55676E-01  0.19551E+03
    61  0.29537E+03  0.23494E+01  0.13978E+00  0.72945E-01  0.10834E+00  0.34032E+03  0.39077E+03  0.27882E+03  0.32244E+00  0.59344E-01  0.20922E+00  0.56031E-01  0.18922E+03
    62  0.29705E+03  0.23633E+01  0.14060E+00  0.73377E-01  0.10898E+00  0.34241E+03  0.39320E+03  0.28039E+03  0.32448E+00  0.59713E-01  0.21052E+00  0.56379E-01  0.18290E+03
    63  0.29870E+03  0.23769E+01  0.14140E+00  0.73801E-01  0.10962E+00  0.34445E+03  0.39558E+03  0.28195E+03  0.32649E+00  0.60076E-01  0.21180E+00  0.56721E-01  0.18248E+03
    64  0.30032E+03  0.23903E+01  0.14220E+00  0.74217E-01  0.11024E+00  0.34646E+03  0.39792E+03  0.28349E+03  0.32845E+00  0.60432E-01  0.21305E+00  0.57057E-01  0.18795E+03
    65  0.30191E+03  0.24036E+01  0.14297E+00  0.74627E-01  0.11086E+00  0.34844E+03  0.40022E+03  0.28502E+03  0.33039E+00  0.60783E-01  0.21429E+00  0.57387E-01  0.19339E+03
    66  0.30348E+03  0.24166E+01  0.14374E+00  0.75029E-01  0.11146E+00  0.35038E+03  0.40248E+03  0.28653E+03  0.33229E+00  0.61127E-01  0.21550E+00  0.57711E-01  0.19879E+03
    67  0.30502E+03  0.24294E+01  0.14449E+00  0.75425E-01  0.11205E+00  0.35229E+03  0.40470E+03  0.28804E+03  0.33416E+00  0.61466E-01  0.21669E+00  0.58030E-01  0.20365E+03
    68  0.30655E+03  0.24420E+01  0.14523E+00  0.75814E-01  0.11264E+00  0.35417E+03  0.40689E+03  0.28953E+03  0.33599E+00  0.61799E-01  0.21786E+00  0.58343E-01  0.20795E+03
    69  0.30805E+03  0.24544E+01  0.14596E+00  0.76198E-01  0.11321E+00  0.35601E+03  0.40904E+03  0.29101E+03  0.33780E+00  0.62126E-01  0.21902E+00  0.58652E-01  0.21222E+03
    70  0.30952E+03  0.24667E+01  0.14668E+00  0.76575E-01  0.11378E+00  0.35783E+03  0.41115E+03  0.29249E+03  0.33957E+00  0.62448E-01  0.22015E+00  0.58955E-01  0.21646E+03
    71  0.31098E+03  0.24788E+01  0.14738E+00  0.76946E-01  0.11434E+00  0.35962E+03  0.41323E+03  0.29395E+03  0.34132E+00  0.62765E-01  0.22127E+00  0.59253E-01  0.22045E+03
    72  0.31242E+03  0.24908E+01  0.14808E+00  0.77312E-01  0.11488E+00  0.36138E+03  0.41528E+03  0.29540E+03  0.34304E+00  0.63078E-01  0.22237E+00  0.59547E-01  0.22420E+03
    73  0.31384E+03  0.25025E+01  0.14876E+00  0.77672E-01  0.11543E+00  0.36311E+03  0.41729E+03  0.29684E+03  0.34473E+00  0.63385E-01  0.22345E+00  0.59836E-01  0.22791E+03
    74  0.31524E+03  0.25142E+01  0.14944E+00  0.78027E-01  0.11596E+00  0.36481E+03  0.41928E+03  0.29828E+03  0.34639E+00  0.63687E-01  0.22452E+00  0.60120E-01  0.23160E+03
    75  0.31662E+03  0.25257E+01  0.15011E+00  0.78377E-01  0.11649E+00  0.36649E+03  0.42123E+03  0.29970E+03  0.34803E+00  0.63986E-01  0.22557E+00  0.60400E-01  0.23347E+03
    76  0.31799E+03  0.25370E+01  0.15077E+00  0.78723E-01  0.11701E+00  0.36815E+03  0.42316E+03  0.30112E+03  0.34965E+00  0.64279E-01  0.22660E+00  0.60676E-01  0.23352E+03
    77  0.31934E+03  0.25482E+01  0.15141E+00  0.79063E-01  0.11752E+00  0.36978E+03  0.42506E+03  0.30253E+03  0.35124E+00  0.64569E-01  0.22763E+00  0.60948E-01  0.23354E+03
